1.1625,1.6231,4.2051,4.6081,4.969,5.7682,0.059267,5.769,4.1363,2.4195,1.9599,1.7599,1.5707,4.8665,4.4775,4.224,4.0106,4.1461,0.03122,0.1283,0.19266,0.61407,2.5103,2.9167,3.2908,5.0091,5.7308,6.0394,0.2814,1.1736,1.694,1.9172,2.1177,5.0823,5.4145,6.0129,0.41319,0.45278,0.077982,6.1049,6.181,0.2793,0.85094,1.4506,2.1774,2.8735,3.2512,3.4764,3.7388,4.2639,5.2058,5.8368,6.0715,6.089,5.9795,5.8451,5.7543,5.7652,2.3222,2.2091,1.9307,1.5938,1.3247,1.0894,0.69775,6.1046,5.3493,3.5429,1.5911,1.0093,0.068366,5.7282,5.2998,4.667,3.6153,2.7848,1.0008,6.1519,5.6075,4.6638,3.6761,3.063,2.0144,0.64689,6.1731,4.9969,4.0311,3.4463,2.6969,1.8351,1.2605,0.72452,6.153,5.4301,5.1984,5.8998,0.92138,5.4827,4.8886,4.7049,4.1973,2.8477,2.5724,2.6981,3.1925,0.26945,0.78683
1.7249,3.1503,4.0979,4.3699,4.6703,0.83369,0.96036,0.67137,5.9164,4.9667,3.6275,2.4418,2.2344,2.2868,4.3015,4.8228,4.8317,4.811,5.7318,0.57968,0.41292,0.34159,0.6572,1.9414,2.5692,2.9313,4.289,5.7045,6.2297,0.68747,1.488,1.9993,2.4233,3.0595,4.1481,5.0627,5.8486,0.0062545,6.1959,6.0448,6.0873,6.2661,0.23057,0.50973,0.84141,1.4423,2.9832,3.8152,4.2508,4.6662,5.1812,5.7867,6.2469,0.19347,0.26843,0.25858,0.23191,0.40106,2.4666,2.6137,2.3719,1.9064,1.4005,0.99083,0.6147,0.21469,6.1036,5.8203,0.4216,1.4262,1.0437,0.40956,5.9716,5.1923,4.1221,3.1009,2.2684,1.1892,0.15124,5.634,4.7728,3.9723,3.3157,0.28628,5.691,4.9693,4.288,3.701,3.1008,2.4289,1.7969,1.2406,0.59235,6.0654,5.5527,5.8018,0.83151,0.60126,5.5106,4.801,4.4291,3.8317,2.8283,2.0445,0.98645,0.73776,1.1477
1.8043,4.5001,4.6395,4.5435,4.2025,2.0572,1.5794,1.2425,0.26834,5.3554,4.7924,3.8344,2.7996,2.3285,1.4345,6.1119,5.7651,5.3814,3.3399,2.9205,2.6875,0.11773,0.074464,0.36646,1.6069,2.4979,2.8006,3.1354,4.4834,5.6203,0.05281,2.2048,2.498,2.6582,2.9173,3.5304,4.0799,4.0916,4.143,5.0918,5.7434,5.9811,6.174,0.11159,0.36686,0.60525,0.59418,4.8369,4.6504,4.6825,4.8027,5.1743,6.0249,0.34495,0.5817,0.68133,0.69478,0.6152,0.46636,0.35486,3.0784,2.7796,1.8864,1.1363,0.79402,0.52524,0.1922,6.0688,5.9637,1.3616,1.3348,0.98721,0.26257,5.5824,4.8023,3.7883,2.8518,2.2587,1.4486,0.26213,5.9079,5.3554,4.499,4.2101,4.7932,4.953,4.5955,3.9367,3.3608,2.8916,2.3152,1.5823,1.001,0.51047,3.6949,2.753,1.5371,1.0768,0.77125,6.1747,4.8747,4.741,4.9967,5.6597,0.7417,1.6782,1.8056
1.5857,0.57668,5.5796,5.0339,4.5643,3.0975,2.1277,1.789,1.2354,5.6647,5.0757,4.6525,3.7962,2.5155,1.4604,0.63906,0.25946,0.13265,3.0998,3.1305,3.2318,4.3124,6.0137,0.012873,0.64234,2.0819,2.5735,2.869,3.4043,4.3295,4.8368,5.083,0.22093,1.8601,2.1198,2.5296,3.091,3.4392,3.5584,3.6673,4.1495,5.2469,5.7913,6.0945,0.073473,0.22366,6.2433,5.5582,5.1285,4.8277,4.5821,4.442,4.4668,0.98759,1.1533,1.1853,1.1154,0.88744,0.56576,0.24283,5.8792,4.4809,3.9336,3.3933,2.1821,1.5185,1.1671,0.44884,5.7071,1.3815,1.4163,1.1365,0.45291,5.8371,5.2774,4.6658,3.6659,2.9562,2.4271,1.274,0.33544,6.2654,5.5348,4.1319,4.4157,5.4488,5.7499,5.3149,3.9274,3.7945,4.2208,5.056,4.8109,3.6606,3.2942,2.9696,2.2193,1.3724,1.0003,0.65613,5.9766,5.2884,5.1373,4.8621,3.8497,2.8081,2.1862
1.7578,1.0343,0.19001,5.6622,5.0759,4.1716,2.8138,2.3346,2.0491,0.70889,5.4055,5.1754,4.955,4.141,1.6236,1.2336,0.98252,1.0346,2.5953,3.23,3.4452,3.883,5.1812,5.965,0.1741,1.1297,2.1641,2.6949,3.2146,3.9149,4.6027,5.1687,5.862,0.73183,1.6916,2.3161,2.846,3.2832,3.5676,3.6618,3.5418,3.2368,2.9002,2.7795,3.1697,4.0807,4.7961,5.253,5.513,5.5754,5.3852,4.8098,3.7008,2.4943,2.0199,1.8222,1.6622,1.4216,1.0833,0.7252,0.17721,4.9559,4.2497,3.9023,3.5204,3.1041,2.8356,2.8601,3.2477,3.0698,1.8355,1.2691,0.6107,6.189,5.7023,5.2729,4.6726,3.9391,3.3921,2.8047,1.7028,1.2491,1.3136,1.3044,0.62389,0.16309,0.034669,6.2142,5.7626,5.253,5.5306,5.582,5.2849,4.4591,3.7246,3.2808,2.7228,1.8214,1.1093,0.61425,0.062199,5.7599,5.1735,4.482,3.9226,3.4042,2.6343
2.3993,1.5616,0.89586,0.20011,5.7692,4.9448,3.8557,3.1007,2.6606,2.1214,0.21063,5.8597,5.6291,5.4083,2.7712,2.1922,1.9427,1.6782,1.5026,3.7041,3.8851,3.9052,4.0823,4.8462,6.0115,0.1798,0.60824,1.9425,3.0153,3.481,4.1224,5.0907,5.7343,6.2129,1.0603,2.3965,2.8574,3.3164,4.04,4.569,2.146,2.2507,2.3911,2.5854,2.906,3.392,3.9803,4.7975,5.739,6.1774,0.084914,0.26712,0.83358,1.8687,2.1402,2.1519,2.1087,2.0316,1.8769,1.5894,1.0965,6.2214,4.8256,4.2785,3.9182,3.6023,3.3259,3.1714,3.2643,3.3523,2.8495,1.7514,1.0028,0.46399,6.2538,5.7863,5.3373,4.8777,4.369,3.787,3.1465,2.5069,1.9014,1.3036,0.70329,0.11733,5.7884,5.0161,4.0264,3.0142,1.8188,0.72579,0.0074831,5.5959,4.6969,3.8418,3.208,2.5122,1.3201,0.45951,0.10721,6.1906,5.3512,4.3484,4.1902,3.9402,3.3837
3.5661,2.6825,1.656,1.0416,0.49913,5.7051,4.6477,4.1357,3.5627,2.3926,1.3846,0.74118,0.090371,5.6322,4.3273,3.2547,2.8531,2.5127,0.77291,6.0816,5.6942,4.296,3.5367,3.5266,4.308,5.7399,5.9953,6.1393,0.42616,2.4003,2.6602,3.183,4.9544,5.1035,5.0176,4.9291,5.2025,5.8956,6.2576,0.35629,1.1403,1.887,2.2652,2.5436,2.8668,3.2816,3.7418,4.4668,6,0.18021,0.34223,0.49359,0.77109,1.3365,1.9728,2.3085,2.4572,2.5076,2.458,2.2499,1.7356,0.92687,0.23932,5.7909,4.9815,4.5296,4.3627,4.3644,3.6918,3.4184,3.0613,2.2259,1.4731,1.0611,0.66867,0.14375,5.9097,5.5529,5.2005,4.563,3.7965,3.2071,2.3852,1.4073,0.74013,0.057256,5.5087,4.7641,4.064,3.2607,2.4758,1.74,0.91233,0.11201,5.666,4.6815,3.7102,3.0665,1.8141,0.53745,0.25219,0.69833,2.1684,0.30412,5.6142,4.9566,4.238
4.1281,3.6262,2.5789,1.6415,1.2648,0.56519,5.0754,4.7916,4.7011,2.2972,1.6164,1.5657,1.4435,5.7252,4.5492,3.9425,3.4624,3.4168,4.5111,5.794,6.1216,0.27975,1.998,2.889,3.4124,4.3757,5.3064,5.7562,6.1665,0.65572,1.6837,2.4001,3.3881,4.3216,4.7764,5.1215,5.5282,5.9942,0.11639,0.50046,1.0666,1.8154,2.3605,2.7348,3.0862,3.4671,3.859,4.5396,0.23504,0.52533,0.61439,0.71315,0.8956,1.267,1.9947,2.7213,3.0038,3.0115,2.8926,2.6521,2.119,1.3216,0.84001,0.57314,0.34011,0.14328,0.10136,0.17579,0.24612,0.36104,2.7852,2.3369,1.795,1.4845,1.2509,0.90676,0.38377,0.010201,6.095,5.7166,4.7356,4.0109,3.2422,1.6343,0.91708,0.2441,5.6683,4.98,4.3808,3.655,2.8976,2.2425,1.5116,0.63621,6.1209,5.1864,4.085,3.2401,2.0059,1.1683,1.0798,3.0208,2.9419,0.5569,0.2341,6.0696,4.9216
4.4376,4.0547,3.4466,2.188,1.7455,1.5023,5.4773,5.2161,5.3573,5.9957,1.571,2.0748,2.4179,2.9272,4.5841,5.3125,4.4029,3.9996,4.2247,4.8053,5.9377,0.40229,0.862,1.5754,2.8832,3.5201,3.9982,4.9229,5.7935,6.1965,0.35124,1.5909,2.7702,3.6237,4.5984,5.1673,5.5347,5.917,0.11793,0.63659,1.2108,2.4289,3.3836,3.7635,4.0758,4.4573,4.975,5.8716,0.82178,1.2508,1.3436,1.3681,1.4726,1.9365,3.2166,3.7471,3.8273,3.6889,3.4128,3.059,2.5353,1.8186,1.3103,1.0398,0.85421,0.68973,0.56675,0.51074,0.49227,0.506,1.1605,2.2937,2.0357,1.7738,1.5871,1.3975,1.1236,0.86304,0.73864,0.57215,0.055522,5.3278,4.5692,2.4808,1.5013,0.93022,0.11879,5.633,5.051,4.4024,3.5844,2.8499,2.171,1.2135,6.2508,5.1212,4.1556,3.1548,2.1056,1.62,1.5667,3.3362,4.2908,0.16651,0.43682,0.3198,5.7285
4.9639,4.4135,4.1757,3.4684,2.3966,2.0671,1.431,6.0626,6.0554,6.2697,0.73655,2.9232,3.1812,3.2137,2.1183,0.7566,0.52052,4.5207,4.254,4.3709,5.0715,0.25424,0.60719,0.8451,1.6294,2.9298,3.2623,3.6011,4.981,5.7463,6.0179,0.19832,1.3141,1.9448,2.21,5.3382,5.5209,5.7621,0.077834,1.5685,3.5328,4.2404,4.4961,4.6858,4.9196,5.2433,5.6386,6.1286,0.86444,1.921,2.2759,2.4829,2.7953,3.3879,3.9211,4.176,4.2754,4.2303,3.9836,3.5444,3.0338,2.5292,2.0765,1.7384,1.5291,1.4116,1.3156,1.1805,1.0127,0.86804,1.0642,2.4198,2.3525,2.0442,1.7332,1.4521,1.2656,1.3832,1.5721,1.4544,1.1023,0.44703,5.6167,2.8018,2.1435,1.6519,1.0573,0.35818,6.0223,5.4803,4.8482,4.0486,3.3796,3.2191,5.1438,4.7742,4.143,3.2521,2.441,1.9437,1.5843,0.43429,5.1964,5.5616,0.50193,0.79887,0.66757
